Ward Code,nimdm_ward_lgd,official_ward_lgd,SOA Code,SOA Name
95II21,Tullycarnet Castlereagh,Tullycarnet CASTLEREAGH,95II21W1,Tullycarnet
95II22,Upper Braniel Castlereagh,UPPER BRANIEL CASTLEREAGH,95II22W1,Upper Braniel
95II23,Wynchurch Castlereagh,WYNCHURCH CASTLEREAGH,95II23W1,Wynchurch
95JJ01,Agivey Coleraine,AGIVEY COLERAINE,95JJ01W1,Agivey
95JJ02,Atlantic Coleraine,ATLANTIC COLERAINE,95JJ02W1,Atlantic
95JJ03,Ballysally Coleraine,BALLYSALLY COLERAINE,95JJ03S1,Ballysally 1
95JJ03,Ballysally Coleraine,BALLYSALLY COLERAINE,95JJ03S2,Ballysally 2
95JJ04,Castlerock Coleraine,CASTLEROCK COLERAINE,95JJ04S1,Castlerock 1
95JJ04,Castlerock Coleraine,CASTLEROCK COLERAINE,95JJ04S2,Castlerock 2
95JJ05,Central Coleraine,CENTRAL (COLERAINE) COLERAINE,95JJ05W1,Central (Coleraine LGD)
95JJ06,Churchland Coleraine,CHURCHLAND COLERAINE,95JJ06W1,Churchland
95JJ07,Cross Glebe Coleraine,CROSS GLEBE COLERAINE,95JJ07W1,Cross Glebe
95JJ08,Dundooan Coleraine,DUNDOOAN COLERAINE,95JJ08S1,Dundooan 1
95JJ08,Dundooan Coleraine,DUNDOOAN COLERAINE,95JJ08S2,Dundooan 2
95JJ09,Dunluce Coleraine,DUNLUCE COLERAINE,95JJ09W1,Dunluce
95JJ10,Garvagh Coleraine,GARVAGH COLERAINE,95JJ10W1,Garvagh
95JJ11,Hopefield Coleraine,HOPEFIELD COLERAINE,95JJ11S1,Hopefield 1
95JJ11,Hopefield Coleraine,HOPEFIELD COLERAINE,95JJ11S2,Hopefield 2
95JJ12,Kilrea Coleraine,KILREA COLERAINE,95JJ12W1,Kilrea
95JJ13,Knocklynn Coleraine,KNOCKLYNN COLERAINE,95JJ13S1,Knocklynn 1
95JJ13,Knocklynn Coleraine,KNOCKLYNN COLERAINE,95JJ13S2,Knocklynn 2
95JJ14,Macosquin Coleraine,MACOSQUIN COLERAINE,95JJ14W1,Macosquin
95JJ15,Mount Sandel Coleraine,MOUNT SANDEL COLERAINE,95JJ15W1,Mount Sandel
95JJ16,Portstewart Coleraine,PORTSTEWART COLERAINE,95JJ16W1,Portstewart
95JJ17,Ringsend Coleraine,RINGSEND COLERAINE,95JJ17W1,Ringsend
95JJ18,Royal Portrush Coleraine,ROYAL PORTRUSH COLERAINE,95JJ18W1,Royal Portrush
95JJ19,Strand Coleraine,STRAND (COLERAINE) COLERAINE,95JJ19S1,Strand 1 (Coleraine LGD)
95JJ19,Strand Coleraine,STRAND (COLERAINE) COLERAINE,95JJ19S2,Strand 2 (Coleraine LGD)
95JJ20,The Cuts Coleraine,THE CUTS COLERAINE,95JJ20S1,The Cuts 1
95JJ20,The Cuts Coleraine,THE CUTS COLERAINE,95JJ20S2,The Cuts 2
95JJ21,University Coleraine,UNIVERSITY COLERAINE,95JJ21W1,University
95JJ22,Waterside Coleraine,Waterside COLERAINE,95JJ22W1,Waterside
95KK01,Ardboe Cookstown,ARDBOE COOKSTOWN,95KK01W1,Ardboe
95KK02,Coagh Cookstown,COAGH COOKSTOWN,95KK02W1,Coagh
95KK03,Dunnamore Cookstown,DUNNAMORE COOKSTOWN,95KK03W1,Dunnamore
95KK04,Gortalowry Cookstown,GORTALOWRY COOKSTOWN,95KK04W1,Gortalowry
95KK05,Killycolpy Cookstown,KILLYCOLPY COOKSTOWN,95KK05W1,Killycolpy
95KK06,Killymoon Cookstown,KILLYMOON COOKSTOWN,95KK06W1,Killymoon
95KK07,Lissan Cookstown,LISSAN COOKSTOWN,95KK07W1,Lissan
95KK08,Moneymore Cookstown,MONEYMORE COOKSTOWN,95KK08W1,Moneymore
95KK09,Newbuildings Cookstown,NEWBUILDINGS COOKSTOWN,95KK09W1,Newbuildings
95KK10,Oaklands Cookstown,OAKLANDS COOKSTOWN,95KK10W1,Oaklands
95KK11,Oldtown Cookstown,OLDTOWN COOKSTOWN,95KK11W1,Oldtown
95KK12,Pomeroy Cookstown,POMEROY COOKSTOWN,95KK12W1,Pomeroy
95KK13,Sandholes Cookstown,SANDHOLES COOKSTOWN,95KK13W1,Sandholes
